,bedroom,bathroom,configuration,area,area_type,age_possession,property_type,sector_encoded,price
1955,4,4,4,1557.0,2.0,0.0,1.0,4.75,4.75
1956,3,3,3,1500.0,3.0,0.0,1.0,1.7808695652173914,1.63
1957,5,5,5,4500.0,3.0,0.0,1.0,13.652424242424244,16.0
1958,6,6,6,2160.0,3.0,0.0,1.0,8.295333333333334,6.18
1959,3,3,3,2052.0,3.0,0.0,1.0,10.275,7.25
1960,13,13,13,540.0,3.0,0.0,1.0,7.013333333333333,3.49
1961,5,6,5,3240.0,3.0,0.0,1.0,14.284594594594594,25.5
1962,4,4,4,2403.0,3.0,0.0,1.0,8.949036144578313,14.0
1963,8,6,8,5526.0,3.0,0.0,1.0,10.055652173913044,14.85
1964,5,6,5,4500.0,2.0,0.0,1.0,27.326666666666664,22.49
1965,10,10,10,1728.0,3.0,0.0,1.0,9.550147058823528,5.6
1966,5,5,5,2430.0,3.0,0.0,1.0,9.550147058823528,8.7
1967,5,5,5,8500.0,0.0,0.0,1.0,10.318928571428572,15.0
1968,3,3,3,1350.0,3.0,0.0,1.0,1.1583333333333334,1.2
1969,5,5,5,2430.0,3.0,0.0,1.0,14.622,16.5
1970,4,4,4,2800.0,3.0,0.0,1.0,4.152083333333334,4.8
1971,16,16,16,2367.0,0.0,0.0,1.0,7.902857142857143,12.0
1972,3,3,3,1530.0,3.0,0.0,1.0,1.7808695652173914,1.6
1973,4,4,4,2610.0,3.0,0.0,1.0,3.154516129032258,7.0
1974,4,4,4,2403.0,3.0,0.0,1.0,8.949036144578313,12.75
1975,5,6,5,3600.0,3.0,0.0,1.0,9.683529411764706,14.0
1976,5,5,5,2610.0,3.0,0.0,1.0,3.154516129032258,7.25
1977,9,9,9,263.0,3.0,0.0,1.0,6.006,8.7
1978,3,4,3,2090.0,0.0,0.0,1.0,2.543333333333333,2.9
1979,4,4,4,2367.0,3.0,0.0,1.0,5.525,7.0
1980,6,7,6,4500.0,0.0,0.0,1.0,7.013333333333333,13.95
1981,6,7,6,9500.0,0.0,0.0,1.0,14.622,23.5
1982,5,6,5,2700.0,0.0,1.0,1.0,10.508333333333333,9.0
1983,4,4,4,2590.0,2.0,0.0,1.0,10.055652173913044,3.9
1984,16,16,16,3240.0,3.0,0.0,1.0,20.0,20.0
1985,4,3,4,450.0,3.0,0.0,1.0,0.85,0.85
1986,7,7,7,540.0,2.0,0.0,1.0,9.38,3.0
1987,3,3,3,2250.0,3.0,0.0,1.0,5.183333333333334,5.65
1988,4,5,4,3240.0,3.0,0.0,1.0,9.550147058823528,12.1
1989,16,17,16,2367.0,3.0,0.0,1.0,30.463636363636365,15.0
1990,9,9,9,594.0,3.0,0.0,1.0,12.1676,2.5
1991,5,6,5,4518.0,2.0,0.0,1.0,5.482307692307692,10.75
1992,5,6,5,4518.0,2.0,0.0,1.0,13.652424242424244,13.5
1993,5,7,5,5040.0,2.0,0.0,1.0,5.451621621621622,12.0
1994,5,5,5,2250.0,3.0,0.0,1.0,7.725,6.8
1995,4,4,4,2250.0,3.0,0.0,1.0,7.725,7.0
1996,6,5,6,2367.0,3.0,0.0,1.0,7.725,7.25
1997,5,6,5,8000.0,0.0,0.0,1.0,14.622,14.5
1998,10,5,10,540.0,3.0,0.0,1.0,10.055652173913044,2.2
1999,4,4,4,990.0,3.0,0.0,1.0,1.87125,1.6
2000,4,4,4,360.0,3.0,0.0,1.0,8.333333333333334,16.5
2001,4,5,4,2205.0,3.0,0.0,1.0,14.284594594594594,8.3
2002,6,7,6,10233.0,3.0,0.0,1.0,10.24962962962963,35.0
2003,5,6,5,8000.0,0.0,0.0,1.0,17.568181818181817,15.0
2004,9,9,9,540.0,3.0,0.0,1.0,14.622,3.0
2005,5,5,5,2799.0,3.0,0.0,1.0,9.39,11.25
2006,5,5,5,5940.0,3.0,0.0,1.0,9.31625,29.0
2007,9,9,9,540.0,3.0,0.0,1.0,6.526818181818182,3.0
2008,1,1,1,600.0,3.0,0.0,1.0,7.4422727272727265,3.4
2009,4,4,4,2430.0,3.0,0.0,1.0,4.32938775510204,10.0
2010,4,5,4,2700.0,0.0,0.0,1.0,14.284594594594594,11.95
2011,4,5,4,2700.0,3.0,0.0,1.0,21.43235294117647,13.25
2012,9,9,9,2790.0,2.0,0.0,1.0,6.513333333333333,7.0
2013,11,11,11,540.0,3.0,0.0,1.0,5.13,3.55
2014,11,11,11,540.0,3.0,0.0,1.0,5.13,3.6
2015,22,22,22,1098.0,3.0,0.0,1.0,5.13,9.0
2016,6,7,6,1449.0,3.0,0.0,1.0,7.4422727272727265,7.15
2017,5,6,5,8500.0,2.0,0.0,1.0,10.318928571428572,16.5
2018,8,9,8,3240.0,3.0,0.0,1.0,10.055652173913044,11.5
2019,5,7,5,4518.0,3.0,0.0,1.0,13.652424242424244,13.5
2020,4,4,4,1800.0,3.0,0.0,1.0,2.555897435897436,4.6
2021,9,9,9,3240.0,3.0,0.0,1.0,14.622,12.8
2022,3,3,3,1550.0,3.0,0.0,1.0,0.956,1.4
2023,4,4,4,2160.0,3.0,0.0,1.0,5.451621621621622,5.0
2024,4,4,4,2160.0,3.0,0.0,1.0,5.451621621621622,6.2
2025,5,5,5,1449.0,3.0,0.0,1.0,8.225,6.25
2026,20,10,20,2952.0,3.0,0.0,1.0,8.225,12.0
2027,5,6,5,2844.0,0.0,0.0,1.0,10.885384615384616,12.9
2028,8,8,8,614.0,3.0,0.0,1.0,10.055652173913044,14.85
2029,3,4,3,3240.0,3.0,0.0,1.0,9.31625,14.55
2030,35,35,35,4500.0,2.0,0.0,1.0,11.93,21.0
2031,5,6,5,9000.0,3.0,0.0,1.0,8.013333333333334,34.0
2032,5,5,5,2340.0,3.0,0.0,1.0,9.550147058823528,8.5
2033,3,4,3,2088.0,2.0,0.0,1.0,3.154516129032258,2.9
2034,9,9,9,2115.0,3.0,0.0,1.0,10.275,7.1
2035,7,8,7,14000.0,0.0,0.0,1.0,17.568181818181817,35.0
2036,7,8,7,14000.0,0.0,0.0,1.0,17.568181818181817,35.0
2037,5,6,5,8000.0,0.0,0.0,1.0,17.568181818181817,14.5
2038,5,5,5,2727.0,3.0,0.0,1.0,9.550147058823528,8.5
2039,5,6,5,4500.0,3.0,0.0,1.0,9.38,19.0
2040,8,8,8,2367.0,3.0,0.0,1.0,5.17,6.0
2041,11,11,11,675.0,3.0,0.0,1.0,5.13,5.25
2042,5,5,5,272.0,3.0,0.0,1.0,9.683529411764706,9.58
2043,5,5,5,272.0,3.0,0.0,1.0,9.683529411764706,9.53
2044,5,5,5,272.0,3.0,0.0,1.0,9.683529411764706,9.56
2045,4,4,4,272.0,3.0,0.0,1.0,9.683529411764706,9.58
2046,4,4,4,272.0,3.0,0.0,1.0,9.683529411764706,9.5
2047,6,8,6,1449.0,3.0,0.0,1.0,8.225,5.15
2048,20,20,20,1449.0,3.0,0.0,1.0,7.4422727272727265,10.5
2049,5,6,5,2700.0,0.0,0.0,1.0,14.284594594594594,12.25
2050,9,9,9,2430.0,2.0,0.0,1.0,6.513333333333333,6.5
2051,6,6,6,3240.0,2.0,0.0,1.0,5.21,8.5
2052,6,6,6,1494.0,3.0,0.0,1.0,6.006,5.9
2053,6,6,6,1449.0,3.0,0.0,1.0,6.006,5.65
2054,6,5,6,4680.0,3.0,0.0,1.0,6.513333333333333,10.5
2055,8,8,8,2430.0,2.0,0.0,1.0,6.513333333333333,6.0
2056,16,16,16,2367.0,3.0,0.0,1.0,6.526818181818182,10.25
2057,5,5,5,3240.0,3.0,0.0,1.0,8.949036144578313,17.3
2058,5,5,5,3240.0,3.0,0.0,1.0,8.949036144578313,17.5
2059,12,12,12,1845.0,0.0,0.0,1.0,7.4422727272727265,10.5
2060,3,3,3,270.0,3.0,0.0,1.0,6.720000000000001,5.25
2061,5,5,5,4500.0,3.0,0.0,1.0,13.652424242424244,16.0
2062,3,3,3,1800.0,3.0,0.0,1.0,3.55,2.1
2063,5,5,5,4770.0,3.0,0.0,1.0,13.652424242424244,12.84
2064,5,5,5,280.0,3.0,0.0,1.0,2.555897435897436,3.5
2065,9,9,9,2900.0,3.0,0.0,1.0,8.4,10.0
2066,3,3,3,900.0,3.0,0.0,1.0,6.006,3.6
2067,11,10,11,1467.0,3.0,0.0,1.0,10.24962962962963,6.5
2068,12,12,12,3060.0,3.0,0.0,1.0,8.225,11.75
2069,6,7,6,4518.0,2.0,0.0,1.0,6.5,13.5
2070,5,3,5,1440.0,3.0,0.0,1.0,5.183333333333334,3.5
2071,9,9,9,1836.0,3.0,0.0,1.0,8.295333333333334,7.5
2072,3,3,3,1494.0,0.0,0.0,1.0,1.7808695652173914,1.72
2073,2,2,2,1196.0,0.0,0.0,1.0,1.7808695652173914,1.35
2074,9,9,9,1467.0,2.0,0.0,1.0,4.152083333333334,5.0
2075,4,4,4,2867.0,3.0,0.0,1.0,8.2,8.2
2076,5,5,5,4680.0,3.0,0.0,1.0,6.513333333333333,7.8
2077,5,6,5,6520.0,2.0,0.0,1.0,8.949036144578313,18.0
2078,5,6,5,300.0,3.0,0.0,1.0,7.902857142857143,9.3
2079,3,3,3,1197.0,3.0,0.0,1.0,1.87125,1.55
2080,5,5,5,272.0,3.0,0.0,1.0,9.683529411764706,9.54
2081,5,5,5,3078.0,3.0,0.0,1.0,6.526818181818182,9.5
2082,3,3,3,540.0,2.0,0.0,1.0,6.526818181818182,2.35
2083,6,6,6,1449.0,2.0,0.0,1.0,4.152083333333334,4.5
2084,5,6,5,2700.0,2.0,0.0,1.0,11.75,13.5
2085,5,6,5,3240.0,3.0,0.0,1.0,12.1676,16.0
2086,5,6,5,7000.0,0.0,1.0,1.0,21.43235294117647,13.5
2087,5,6,5,8200.0,0.0,0.0,1.0,12.1676,13.1
2088,5,6,5,8000.0,0.0,1.0,1.0,10.055652173913044,10.0
2089,6,7,6,9500.0,0.0,0.0,1.0,14.622,23.0
2090,6,7,6,3240.0,3.0,0.0,1.0,14.622,14.0
2091,3,3,3,3771.0,3.0,0.0,1.0,12.1676,12.5
2092,6,7,6,4500.0,3.0,0.0,1.0,6.513333333333333,12.0
2093,1,2,1,1800.0,2.0,0.0,1.0,4.152083333333334,5.99
2094,5,6,5,7800.0,0.0,0.0,1.0,9.38,11.75
2095,4,4,4,647.0,3.0,0.0,1.0,6.4425,3.75
2096,4,4,4,1467.0,3.0,0.0,1.0,10.885384615384616,6.25
2097,4,6,4,3960.0,3.0,0.0,1.0,10.175,20.0
2098,12,12,12,1836.0,2.0,0.0,1.0,8.13125,9.0
2099,2,2,2,3834.0,3.0,0.0,1.0,3.950277777777778,11.0
2100,4,4,4,2700.0,3.0,0.0,1.0,8.013333333333334,9.25
