,property_name,bedroom,bathroom,configuration,area,area_type,facing,age_possession,property_type,price_cr,sector_encoded,Luxury_category,Floor_category
2125,A Block Sushant Lok Phase 1,9,9,9,2700.0,Built-up,Unknown,RESALE,House,11.5,17.0,Low,Low Floor
2126,"Block C, Sushant Lok Phase 1",3,3,3,1935.0,Super Built-up,Unknown,RESALE,House,8.0,8.013333333333334,Low,Low Floor
2127,Block C 1 Palam Vihar,4,4,4,2151.0,Super Built-up,North,RESALE,House,6.5,6.5,Medium,Low Floor
2128,Sector-33 Sohna,3,3,3,4500.0,Covered,North,RESALE,House,7.88,6.4413829787234045,Medium,Low Floor
2129,Sector-33 Sohna,3,3,3,4830.0,Super Built-up,North,RESALE,House,8.35,6.4413829787234045,Medium,Low Floor
2130,Sector-33 Sohna,3,3,3,4830.0,Super Built-up,East,RESALE,House,8.33,6.4413829787234045,Medium,Low Floor
2131,Sector-33 Sohna,3,3,3,4830.0,Super Built-up,North-East,RESALE,House,8.35,6.4413829787234045,Medium,Low Floor
2132,Sector-33 Sohna,3,3,3,4830.0,Super Built-up,North-East,RESALE,House,8.34,6.4413829787234045,Medium,Low Floor
2133,Sector-33 Sohna,3,3,3,4500.0,Super Built-up,North,RESALE,House,7.9,6.4413829787234045,Low,Low Floor
2134,Sector-33 Sohna,3,3,3,4500.0,Covered,East,RESALE,House,7.9,6.4413829787234045,Medium,Low Floor
2135,Sector-33 Sohna,3,3,3,4500.0,Covered,North,RESALE,House,7.89,6.4413829787234045,Medium,Low Floor
2136,Sector-33 Sohna,3,3,3,4500.0,Super Built-up,Unknown,RESALE,House,7.89,6.4413829787234045,Low,Low Floor
2137,Sector-33 Sohna,3,3,3,4500.0,Covered,North,RESALE,House,7.9,6.4413829787234045,Medium,Low Floor
2138,Sector 1 Imt Manesar,30,27,30,4843.0,Super Built-up,Unknown,RESALE,House,10.0,5.243333333333333,Low,Low Floor
2139,Sector 40,9,9,9,2502.0,Super Built-up,Unknown,RESALE,House,8.6,6.006,Low,Low Floor
2140,Sector 112,5,5,5,6325.0,Built-up,Unknown,RESALE,House,8.25,5.9,Low,Low Floor
2141,Sector 66,5,6,5,3150.0,Super Built-up,Unknown,RESALE,House,18.0,8.949036144578313,High,Low Floor
2142,Sector 21,6,6,6,2430.0,Covered,North-East,RESALE,House,6.0,5.5,Medium,Low Floor
2143,Malibu Town,3,2,3,2259.0,Super Built-up,North-East,RESALE,House,7.5,10.055652173913044,Low,Low Floor
2144,DLF Phase 1,6,7,6,4500.0,Built-up,North-East,RESALE,House,18.0,21.43235294117647,Low,Low Floor
2145,DLF Phase 1,7,8,7,9500.0,Super Built-up,Unknown,RESALE,House,37.75,21.43235294117647,Low,Low Floor
2146,DLF Phase 2,6,7,6,4500.0,Built-up,Unknown,RESALE,House,22.5,14.284594594594594,Low,Low Floor
2147,Sector 66,5,6,5,9500.0,Built-up,Unknown,RESALE,House,22.0,8.949036144578313,Low,Low Floor
2148,Sector 66,4,5,4,8000.0,Built-up,Unknown,RESALE,House,16.5,8.949036144578313,Low,Low Floor
2149,DLF Phase 1,5,6,5,4500.0,Built-up,Unknown,RESALE,House,19.25,21.43235294117647,Low,Low Floor
2150,DLF Phase 1,5,6,5,3600.0,Built-up,North-East,RESALE,House,13.5,21.43235294117647,Low,Low Floor
2151,DLF Phase 1,5,6,5,3240.0,Super Built-up,East,RESALE,House,14.5,21.43235294117647,Low,Low Floor
2152,DLF Phase 2,5,6,5,3600.0,Super Built-up,Unknown,RESALE,House,17.25,14.284594594594594,Low,Low Floor
2153,DLF Phase 2,5,6,5,4500.0,Super Built-up,Unknown,RESALE,House,17.0,14.284594594594594,Low,Low Floor
2154,Sushant Lok,7,6,7,4518.0,Super Built-up,East,RESALE,House,21.0,21.0,Medium,Low Floor
2155,Sector 9,2,2,2,900.0,Super Built-up,East,RESALE,House,2.7,3.95,Low,Low Floor
2156,Sector 92,4,4,4,2475.0,Super Built-up,North-East,RESALE,House,4.25,2.1133333333333333,Low,Low Floor
2157,Sector 38,2,2,2,900.0,Super Built-up,North-East,RESALE,House,4.0,10.166666666666666,Low,Low Floor
2158,New Palam Vihar,4,4,4,900.0,Super Built-up,North,RESALE,House,1.45,1.87125,Low,Low Floor
2159,DLF Phase 3,8,8,8,3618.0,Super Built-up,North,RESALE,House,14.0,10.885384615384616,Medium,Low Floor
2160,DLF Phase 2,5,7,5,360.0,Super Built-up,West,RESALE,House,19.85,14.284594594594594,Low,Low Floor
