,Unnamed: 0.1,Unnamed: 0,listing_type,property_name,society,price,per_sqft,bedroom,bathroom,configuration,area,area_with_type,area_type,floor_number,facing,age_possession,furnish_details,balcony,additional_rooms,features,description,address,location,nearby_location,property_id,rating,reviews,link
485,654.0,1021.0,Individual,"3 BHK Flat in Sector 61, Gurgaon","3 BHK Flat in Sector 61, Gurgaon",₹2.9 Cr,"₹17,109 /sqft",3.0,3.0,3 BHK,1695.0,"1,695 sqft",Super Built-up,1st floor,North-East,Ready To Move,,2.0,,Garden,"This 3 bhk flat is located in smart world orchard, which houses some of the most spacious flats in sector 61 gurgaon. This property faces the north-East direction. The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 2 balconies. All in all, the flat is spread over a super built up area of 1695 sq.Ft. This flat is situated on the 1st floor of this 4 floors tall residential buildin...",Smart World Orchard,Smart World Orchard,North-East Facing Private Garden,,,,
486,655.0,1022.0,Individual,"3 BHK Flat in Sector 48, Gurgaon","3 BHK Flat in Sector 48, Gurgaon",₹3.2 Cr,"₹18,018 /sqft",3.0,3.0,3 BHK,1776.0,"1,776 sqft",Super Built-up,,East,Ready To Move,,,,Parking,"3 bhk + sr, park facing, well maintained, 2 covered car parking, sun facing apartment for sale at best market price. Bestech park view city is a high end project of sohna road, this project have 5 acres single green area with luxury club amenities, high end specification with all indoor and out door games court, very well connectivity, call for other details and visit",Bestech Park View City,Bestech Park View City,East Facing Huda metro station Nearby,,,,
487,656.0,1023.0,Individual,"3 BHK Flat in Sector 89, Gurgaon","3 BHK Flat in Sector 89, Gurgaon",₹1.58 Cr,"₹10,575 /sqft",3.0,3.0,3 BHK,1494.0,"1,494 sqft",Built-up,2nd floor,East,Ready To Move,,2.0,,,"M3m soulitude is one of the most popular destination for buying apartments/ flats in sector 89 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This property faces the north-East direction. The flat occupies a built up area of 1494 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 2 balconies. This flat is situated on the 2nd floor of this 4 floors tall resid...",M3M Soulitude,M3M Soulitude,,,,,
488,657.0,1024.0,Individual,"4 BHK Flat in Sector 102, Gurgaon","4 BHK Flat in Sector 102, Gurgaon",₹3.3 Cr,"₹15,263 /sqft",4.0,4.0,4 BHK,2162.0,"2,162 sqft",Super Built-up,26 floor,North-East,Ready To Move,,3.0,,,"This 4 bhk apartment is available for sale in shapoorji pallonji joyville gurugram, one of the most prominent projects for flats in sector 102 gurgaon. This residential flat is north-East-Facing direction. Constructed on a super built up area of 2162 sq.Ft., the flat comprises 4 bedroom(s), 4 bathrooms and more than 3 balconies. The flat has a total of 26 floors and this property is situated on...",Shapoorji Pallonji Joyville Gurugram,Shapoorji Pallonji Joyville Gurugram,North-East Facing Yashobhumi metro station Nearby,,,,
489,658.0,1025.0,Individual,"3 BHK Flat in Sector 81, Gurgaon","3 BHK Flat in Sector 81, Gurgaon",₹3.62 Cr,"₹17,238 /sqft",3.0,4.0,3 BHK,2100.0,"2,100 sqft",Super Built-up,30 floor,,Ready To Move,,3.0,,,"This lovely 3 bhk apartment/flat in sector 81 gurgaon is available for sale in one of gurgaon's most popular projects, dlf the ultima. This property faces the west direction. The flat occupies a super built up area of 2100 sq.Ft. That consists of 3 bedrooms, 4 bathrooms and more than 3 balconies. The flat has a total of 30 floors and this property is situated on 18th floor. An added advantage o...",DLF The Ultima,DLF The Ultima,Gated Society Corner Property,,,,
490,659.0,1026.0,Individual,"4 BHK Flat in Sector 37D, Gurgaon","4 BHK Flat in Sector 37D, Gurgaon",₹2.65 Cr,"₹11,974 /sqft",4.0,3.0,4 BHK,2213.0,"2,213 sqft",Super Built-up,23 floor,North,Ready To Move,,3.0,,,"Located in the popular residential address of sector 37d gurgaon, bptp terra is one of the most preferred destination for apartments in gurgaon. This 4 bhk flat is your ticket to be a part of this community. The flat is north-Facing. The flat occupies a super built up area of 2213 sq.Ft. That consists of 4 bedrooms, 3 bathrooms and 3 balconies. The flat has a total of 23 floors and this propert...",BPTP Terra,BPTP Terra,North Facing suncity school Nearby,,,,
491,660.0,1027.0,Individual,"3 BHK Flat in Sector 104, Gurgaon","3 BHK Flat in Sector 104, Gurgaon",₹3.45 Cr,"₹14,081 /sqft",3.0,4.0,3 BHK,2450.0,"2,450 sqft",Super Built-up,29 floor,East,Ready To Move,,3.0,,,"Check out this 3 bhk apartment for sale in puri emerald bay, a popular residential project that houses in-Demand flats in sector 104 gurgaon. This is a east-Facing property. The floor plan additionally contains 3 bedroom(s), 4 bathrooms and more than 3 balconies. All in all, the flat is spread over a super built up area of 2450 sq.Ft. The flat has a total of 29 floors and this property is situa...",Puri Emerald Bay,Puri Emerald Bay,East Facing Gated Society,,,,
492,661.0,1028.0,Individual,"3 BHK Flat in Sector 89, Gurgaon","3 BHK Flat in Sector 89, Gurgaon",₹1.63 Cr,"₹10,895 /sqft",3.0,3.0,3 BHK,1496.0,"1,496 sqft",Super Built-up,,,Ready To Move,,2.0,,,"Situated in sector 89 gurgaon, smart world gems is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in gurgaon is your opportunity to be a part of this community. This residential flat is east-Facing direction. Constructed on a super built up area of 1496 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and 2 balconies. This flat lies on the ...",Smart World Gems,Smart World Gems,,,,,
493,662.0,1029.0,Individual,"3 BHK Flat in Sector 102, Gurgaon","3 BHK Flat in Sector 102, Gurgaon",₹3.35 Cr,"₹12,989 /sqft",3.0,3.0,3 BHK,2579.0,"2,579 sqft",Super Built-up,7th floor,North-East,Ready To Move,,3.0,,Garden,"This lovely 3 bhk apartment/flat in sector 102 gurgaon is available for sale in one of gurgaon's most popular projects, adani m2k oyster grande. This is a north-East-Facing property. Constructed on a super built up area of 2579 sq.Ft., the flat comprises 3 bedroom(s), 3 bathrooms and more than 3 balconies. The property is located on the 7th floor of a 24 floors tall building. An added advantage...",Adani M2K Oyster Grande,Adani M2K Oyster Grande,North-East Facing Private Garden,,,,
494,663.0,1030.0,Individual,"3 BHK Flat in Sector 108, Gurgaon","3 BHK Flat in Sector 108, Gurgaon",₹3.35 Cr,"₹19,579 /sqft",3.0,3.0,3 BHK,1711.0,"1,711 sqft",Super Built-up,24 floor,North-East,Ready To Move,,2.0,,,"Sobha city is one of the most popular destination for buying apartments/ flats in sector 108 gurgaon. You too can be a part of this society by purchasing this 3 bhk flat here. This residential flat is north-East-Facing direction. The flat occupies a super built up area of 1711 sq.Ft. That consists of 3 bedrooms, 3 bathrooms and 2 balconies. The flat has a total of 24 floors and this property is...",Sobha City,Sobha City,North-East Facing YASHOBHOOMI Nearby,,,,
495,664.0,1031.0,Individual,"3 BHK Flat in Sector 68, Gurgaon","3 BHK Flat in Sector 68, Gurgaon",₹2.21 Cr,"₹13,393 /sqft",3.0,3.0,3 BHK,1650.0,"1,650 sqft",Super Built-up,29 floor,North,Ready To Move,,3.0,,Garden,"M3m the marina is one of gurgaon's most sought after destination for apartments and this 3 bhk flat in sector 68 gurgaon is your opportunity to be a part of this community. The flat is facing the north direction. The flat is over 1650 sq.Ft. Super built up area and comes with 3 bedroom(s), 3 bathrooms and 3 balconies. The flat has a total of 29 floors and this property is situated on 14th floor...",M3M The Marina,M3M The Marina,North Facing Private Garden,,,,
496,665.0,1032.0,Individual,"3 BHK Flat in Sector 85, Gurgaon","3 BHK Flat in Sector 85, Gurgaon",₹2.7 Cr,"₹11,212 /sqft",3.0,4.0,3 BHK,2408.0,"2,408 sqft",Super Built-up,12th floor,North-East,Ready To Move,,3.0,,,"This lovely 3 bhk apartment/flat in sector 85 gurgaon is available for sale in one of gurgaon's most popular projects, ss the leaf. The flat is facing the north-East direction. Containing 3 bedroom(s), 4 bathrooms and 3 balconies, this flat is spread over a super built up area of 2408 sq.Ft. This flat is situated on the 12th floor of this 26 floors tall residential building. Being a ready to mo...",SS The Leaf,SS The Leaf,North-East Facing St. Andrews World School Nearby,,,,
